year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d,rus_o,rus_d
1995,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3187.784,3187.784,2424498.944,2424498.944,.76099998,.76099998,WDI,WDI,WDI,WDI,8866547.01,8866547.01,2.781,2.781,3106.7361,3106.7361,10504736,10504736,0,0,0,0,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
1996,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3168.033,3168.033,3013217.792,3013217.792,.95099998,.95099998,WDI,WDI,WDI,WDI,9849995.926000001,9849995.926000001,3.109,3.109,3092.228,3092.228,11795974,11795974,0,0,0,0,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
1997,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3148.281,3148.281,2196223.744,2196223.744,.69800001,.69800001,WDI,WDI,WDI,WDI,8932779.83,8932779.83,2.837,2.837,3093.041,3093.041,10894136,10894136,0,0,0,0,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
1998,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3128.53,3128.53,2727745.536,2727745.536,.87199998,.87199998,WDI,WDI,WDI,WDI,10039320.661,10039320.661,3.209,3.209,3103.759,3103.759,12109043,12109043,0,0,0,0,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
1999,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3108.778,3108.778,3434402.56,3434402.56,1.105,1.105,WDI,WDI,WDI,WDI,11473531.925,11473531.925,3.691,3.691,3115.5759,3115.5759,13144066,13144066,0,0,0,0,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
2000,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3089.027,3089.027,3686649.344,3686649.344,1.193,1.193,WDI,WDI,WDI,WDI,12438082.812,12438082.812,4.027,4.027,3121.97,3121.97,13383587,13383587,0,0,1,1,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
2001,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3064.111,3064.111,4091020.288,4091020.288,1.335,1.335,WDI,WDI,WDI,WDI,13659489.145,13659489.145,4.464,4.464,3122.408,3122.408,14123752,14123752,0,0,1,1,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
2002,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3051.427,3051.427,4449373.696,4449373.696,1.4579999,1.4579999,WDI,WDI,WDI,WDI,14506563.585,14506563.585,4.755,4.755,3119.0291,3119.0291,14676195,14676195,0,0,1,1,0,0,0,No RTA,PSA,,,,,,,,,,,,,,,.0049999999,.0049999999
2003,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3033.659,3033.659,5652324.864,5652324.864,1.863,1.863,WDI,WDI,WDI,WDI,15546981.65,15546981.65,5.115,5.115,3111.0049,3111.0049,15717618,15717618,0,0,1,1,0,0,0,No RTA,PSA,57.1,57.1,12,12,41,41,53,53,,6.792,,,,,.0049999999,.0049999999
2004,ALB,ALB,8,8,1,1,1,1,0,63.772999,73.15600000000001,63.772999,51.53,1,0,0,0,.042025,0,so,so,fr,fr,1,1,0,0,0,0,0,,,,0,0,,,3014.579,3014.579,7464446.976,7464446.976,2.4760001,2.4760001,WDI,WDI,WDI,WDI,16723600.847,16723600.847,5.525,5.525,3097.7471,3097.7471,16756182,16756182,0,0,1,1,0,0,0,No RTA,PSA,32.3,32.3,12,12,40,40,52,52,,394.28,,,,,.0049999999,.0049999999
